id,algorithm,frequencia_base,ratio_carrier,index_12,index_23,index_3c,index_4c,index_5c,detune_carrier,feedback,lfo_rate,lfo_depth_cents,key_scaling,env_mod_attack,env_mod_decay,env_mod_sustain,env_mod_release,env_car_attack,env_car_decay,env_car_sustain,env_car_release,algorithm_idx,index_12_head,index_23_head,index_3c_head,index_4c_head,index_5c_head,feedback_head,lfo_rate_head,lfo_depth_cents_head,key_scaling_head,env_mod_attack_head,env_mod_decay_head,env_mod_sustain_head,env_mod_release_head,env_car_attack_head,env_car_decay_head,env_car_sustain_head,env_car_release_head,ratio_log2_head,freq_log2_head,detune_carrier_head
908,series3_parallel2,230.7627,1.5,5.0634,2.159,1.5436,1.0773,1.4406,0.7953,0.0151,6.382,5.075,0.2947,0.0155,0.1101,0.3647,0.4028,0.0018,0.0639,0.7289,0.4575,3,5.0634,2.159,1.5436,1.0773,1.4406,0.0151,6.382,5.075,0.2947,-6.011588,-3.1831136,0.3647,-1.3118644,-9.117787,-3.9680402,0.7289,-1.1281563,0.5849625,7.850266,0.7953
2099,parallel5,405.277,0.6667,1.1379,0.605,3.1746,3.7238,2.3409,-10.8137,0.2937,4.862,3.7597,0.1965,0.0175,0.4034,0.5958,0.1129,0.0019,0.0845,0.1207,0.0764,0,1.1379,0.605,3.1746,3.7238,2.3409,0.2937,4.862,3.7597,0.1965,-5.836501,-1.3097169,0.5958,-3.1468828,-9.039784,-3.564905,0.1207,-3.7102835,-0.58489037,8.662765,-10.8137
1284,parallel5,226.5553,0.125,3.7835,0.4137,4.3883,3.6405,1.2456,1.6625,0.3724,4.7906,8.9591,0.6475,0.0078,0.0391,0.2432,0.1666,0.0017,0.0512,0.7754,0.2157,0,3.7835,0.4137,4.3883,3.6405,1.2456,0.3724,4.7906,8.9591,0.6475,-7.0023103,-4.6766877,0.2432,-2.5855396,-9.20025,-4.2877126,0.7754,-2.2129018,-3.0,7.8237195,1.6625
1145,series3_parallel2,521.3098,0.6667,0.6532,1.4442,1.0264,4.5199,3.1228,-0.6458,0.1166,0.1583,8.9405,0.5339,0.0072,0.0938,0.4652,0.3612,0.0139,0.0902,0.1418,0.0616,3,0.6532,1.4442,1.0264,4.5199,3.1228,0.1166,0.1583,8.9405,0.5339,-7.1177874,-3.4142683,0.4652,-1.4691302,-6.1687713,-3.4707289,0.1418,-4.020926,-0.58489037,9.025997,-0.6458
3297,series3,420.4978,0.6667,5.5702,0.8936,2.6219,0.3055,5.6277,-2.4997,0.0911,2.3728,7.8279,0.4114,0.0197,0.0739,0.2875,0.1325,0.0139,0.1859,0.4136,0.0368,2,5.5702,0.8936,2.6219,0.3055,5.6277,0.0911,2.3728,7.8279,0.4114,-5.6656604,-3.758282,0.2875,-2.9159358,-6.1687713,-2.4274013,0.4136,-4.7641506,-0.58489037,8.715955,-2.4997
3410,series3,706.971,0.5,2.2348,0.8382,1.1421,0.527,0.6849,4.0438,0.4498,2.4373,12.1862,0.4559,0.0462,0.2619,0.4277,0.3167,0.0221,0.6493,0.2998,0.0313,2,2.2348,0.8382,1.1421,0.527,0.6849,0.4498,2.4373,12.1862,0.4559,-4.435963,-1.932912,0.4277,-1.6588112,-5.4998097,-0.62304294,0.2998,-4.9976935,-1.0,9.4655075,4.0438
3715,series2x2_parallel1,669.007,0.125,2.1819,4.6777,1.082,2.3263,1.8158,8.7489,0.1783,8.9864,13.3131,0.7494,0.0104,0.0837,0.4219,0.5233,0.0042,0.0449,0.8673,0.0723,1,2.1819,4.6777,1.082,2.3263,1.8158,0.1783,8.9864,13.3131,0.7494,-6.5872726,-3.5786285,0.4219,-0.9342899,-7.895395,-4.477141,0.8673,-3.7898605,-3.0,9.385878,8.7489
2660,parallel5,370.5444,3.0,3.5086,1.1777,1.5413,5.1857,4.0841,-1.0265,0.3831,1.2604,3.1687,0.4355,0.0679,0.0816,0.867,0.3511,0.0143,0.0497,0.2191,0.2586,0,3.5086,1.1777,1.5413,5.1857,4.0841,0.3831,1.2604,3.1687,0.4355,-3.8804445,-3.615287,0.867,-1.5100461,-6.127841,-4.3306103,0.2191,-1.9512058,1.5849625,8.533503,-1.0265
1228,series3,578.3419,0.6667,3.1106,3.9374,2.6562,4.0752,3.3427,-1.2398,0.2845,5.5263,13.4092,0.4015,0.0137,0.0353,0.5809,0.409,0.0084,0.2237,0.4817,0.38,2,3.1106,3.9374,2.6562,4.0752,3.3427,0.2845,5.5263,13.4092,0.4015,-6.18968,-4.8241878,0.5809,-1.2898272,-6.895395,-2.1603627,0.4817,-1.3959287,-0.58489037,9.175778,-1.2398
1705,series3,119.0959,2.0,2.9438,0.8735,1.1281,0.8977,0.6905,1.7734,0.0064,1.2896,5.9937,0.1654,0.0038,0.3947,0.3331,0.0457,0.0384,0.3462,0.2348,0.4,2,2.9438,0.8735,1.1281,0.8977,0.6905,0.0064,1.2896,5.9937,0.1654,-8.039784,-1.3411716,0.3331,-4.451662,-4.7027497,-1.5303224,0.2348,-1.321928,1.0,6.89598,1.7734
3658,series2x2_parallel1,846.9013,0.3333,3.2059,1.3466,1.3699,0.7721,1.1339,11.281,0.0968,5.145,19.0789,0.5603,0.0103,0.0319,0.4106,0.2775,0.0971,0.1413,0.6574,0.0676,1,3.2059,1.3466,1.3699,0.7721,1.1339,0.0968,5.145,19.0789,0.5603,-6.601212,-4.9702997,0.4106,-1.8494403,-3.364385,-2.8231666,0.6574,-3.886833,-1.5851068,9.72605,11.281
1785,series2x2_parallel1,126.3031,0.3333,2.8912,3.2213,1.2551,4.9204,1.2683,0.6901,0.1635,6.3023,13.4605,0.6778,0.0047,0.2445,0.8572,0.0685,0.022,0.0568,0.1903,0.0741,1,2.8912,3.2213,1.2551,4.9204,1.2683,0.1635,6.3023,13.4605,0.6778,-7.733124,-2.0320938,0.8572,-3.8677523,-5.506353,-4.137965,0.1903,-3.7543826,-1.5851068,6.9807463,0.6901
1883,series2x2_parallel1,369.407,0.3333,3.1568,1.7062,2.0246,1.1276,1.7304,-11.7874,0.3545,8.1906,12.2369,0.5684,0.0045,0.2936,0.7959,0.1118,0.0046,0.5743,0.8771,0.0806,1,3.1568,1.7062,2.0246,1.1276,1.7304,0.3545,8.1906,12.2369,0.5684,-7.7958593,-1.7680762,0.7959,-3.161008,-7.7641506,-0.8001236,0.8771,-3.6330764,-1.5851068,8.529067,-11.7874
2210,series3,755.8472,1.0,2.8253,1.3516,1.6077,2.1332,1.509,2.7914,0.1004,4.2604,3.9947,0.6752,0.0221,0.0853,0.7505,0.1538,0.0269,0.1102,0.6411,0.0517,2,2.8253,1.3516,1.6077,2.1332,1.509,0.1004,4.2604,3.9947,0.6752,-5.4998097,-3.5513105,0.7505,-2.7008727,-5.21625,-3.181804,0.6411,-4.273692,0.0,9.561951,2.7914
3376,series3,217.5701,0.2,0.4065,1.0152,3.4994,1.5808,4.109,-1.8364,0.2273,2.1354,19.4917,0.4225,0.0538,0.1176,0.2289,0.0484,0.0012,0.0481,0.2437,0.2364,2,0.4065,1.0152,3.4994,1.5808,4.109,0.2273,2.1354,19.4917,0.4225,-4.21625,-3.08804,0.2289,-4.3688493,-9.70275,-4.3778195,0.2437,-2.080698,-2.321928,7.7653365,-1.8364
530,parallel5,117.9616,0.25,1.2196,4.9278,3.6273,1.4423,2.4988,9.5023,0.1897,8.8727,4.5968,0.0225,0.0138,0.1496,0.3981,0.379,0.1062,0.267,0.1215,0.0509,0,1.2196,4.9278,3.6273,1.4423,2.4988,0.1897,8.8727,4.5968,0.0225,-6.179188,-2.740818,0.3981,-1.3997302,-3.2351444,-1.9050884,0.1215,-4.2961907,-2.0,6.8821735,9.5023
1518,parallel5,127.4909,0.3333,3.3309,4.1661,4.0182,2.6058,4.1614,-7.4579,0.1374,4.7404,21.2014,0.7339,0.0421,0.1056,0.671,0.2885,0.0926,0.3365,0.1382,0.2186,0,3.3309,4.1661,4.0182,2.6058,4.1614,0.1374,4.7404,21.2014,0.7339,-4.570036,-3.2433183,0.671,-1.7933568,-3.432844,-1.5713216,0.1382,-2.1936347,-1.5851068,6.9942503,-7.4579
1947,series3_parallel2,124.2699,0.5,0.8024,4.0799,1.5968,0.8993,4.8697,9.2326,0.2511,2.1051,9.7458,0.2074,0.002,0.0673,0.3352,0.2939,0.0027,0.0441,0.2839,0.1194,3,0.8024,4.0799,1.5968,0.8993,4.8697,0.2511,2.1051,9.7458,0.2074,-8.965784,-3.8932498,0.3352,-1.7666026,-8.5328245,-4.5030775,0.2839,-3.0661252,-1.0,6.957333,9.2326
3276,series3_parallel2,266.8012,4.0,5.5744,0.4662,2.6779,0.1877,2.7485,3.212,0.2748,5.2449,14.1389,0.459,0.0026,0.3471,0.8488,0.5858,0.0191,0.0654,0.2471,0.0472,3,5.5744,0.4662,2.6779,0.1877,2.7485,0.2748,5.2449,14.1389,0.459,-8.587273,-1.5265768,0.8488,-0.77151996,-5.7102838,-3.9345655,0.2471,-4.4050694,2.0,8.059622,3.212
1841,series2x2_parallel1,164.8578,4.0,2.8436,0.8365,5.0254,3.9854,3.1199,3.7811,0.4434,5.6506,8.8611,0.5364,0.043,0.0324,0.4231,0.1833,0.0249,0.0829,0.7529,0.0708,1,2.8436,0.8365,5.0254,3.9854,3.1199,0.4434,5.6506,8.8611,0.5364,-4.5395193,-4.947862,0.4231,-2.4477212,-5.3277106,-3.592484,0.7529,-3.8201067,2.0,7.3650784,3.7811
3149,series2x2_parallel1,78.9615,2.0,2.3572,2.0016,3.3382,1.9951,2.8812,0.346,0.251,3.8803,4.3249,0.1674,0.0748,0.5081,0.2387,0.0339,0.0013,0.1846,0.4275,0.0479,1,2.3572,2.0016,3.3382,1.9951,2.8812,0.251,3.8803,4.3249,0.1674,-3.740818,-0.9768157,0.2387,-4.8825707,-9.587273,-2.4375255,0.4275,-4.3838305,1.0,6.3030777,0.346
3118,series3,530.0201,1.0,1.9264,2.3276,1.2365,1.2331,3.367,-8.0253,0.2051,1.9298,16.553,0.2427,0.0042,0.3302,0.2698,0.0461,0.0518,0.5948,0.4865,0.2519,2,1.9264,2.3276,1.2365,1.2331,3.367,0.2051,1.9298,16.553,0.2427,-7.895395,-1.598588,0.2698,-4.4390893,-4.270904,-0.74952346,0.4865,-1.9890771,0.0,9.049903,-8.0253
545,series3_parallel2,256.9681,4.0,0.6347,4.0351,2.555,1.556,1.8095,-5.7213,0.2363,4.1089,19.0837,0.2811,0.0251,0.3751,0.7086,0.2265,0.0118,0.2708,0.4777,0.6828,3,0.6347,4.0351,2.555,1.556,1.8095,0.2363,4.1089,19.0837,0.2811,-5.316169,-1.4146528,0.7086,-2.142417,-6.4050694,-1.8847004,0.4777,-0.55046505,2.0,8.0054455,-5.7213
2737,parallel5,757.353,0.125,0.6677,2.837,1.4269,3.5074,1.5945,10.3492,0.2228,1.8954,11.4614,0.304,0.0066,0.3274,0.5118,0.0913,0.0422,0.4074,0.4943,0.7619,0,0.6677,2.837,1.4269,3.5074,1.5945,0.2228,1.8954,11.4614,0.304,-7.243318,-1.6108738,0.5118,-3.4532413,-4.566613,-1.295482,0.4943,-0.3923264,-3.0,9.564822,10.3492
62,series3,625.1525,0.2,2.9862,3.2874,4.6405,0.4011,3.6468,8.6021,0.2681,6.0685,13.6043,0.2923,0.0101,0.1678,0.6695,0.1098,0.0053,0.0881,0.5371,0.0709,2,2.9862,3.2874,4.6405,0.4011,3.6468,0.2681,6.0685,13.6043,0.2923,-6.629501,-2.5751855,0.6695,-3.18705,-7.559792,-3.5047143,0.5371,-3.8180707,-2.321928,9.288064,8.6021
3963,series3_parallel2,295.8678,0.6667,3.1147,3.5718,5.3196,1.7602,2.8325,5.4807,0.3619,3.1496,18.3347,0.2157,0.0792,0.063,0.4851,0.1433,0.0164,0.571,0.6901,0.1342,3,3.1147,3.5718,5.3196,1.7602,2.8325,0.3619,3.1496,18.3347,0.2157,-3.6583557,-3.9885044,0.4851,-2.8028896,-5.9301605,-0.8084374,0.6901,-2.8975434,-0.58489037,8.208809,5.4807
1431,series2x2_parallel1,655.4118,0.3333,0.1947,4.9771,3.454,2.7292,3.1921,2.0608,0.2854,8.8598,8.4463,0.3931,0.0775,0.1142,0.5517,0.1841,0.0523,0.0847,0.3647,0.0675,1,0.1947,4.9771,3.454,2.7292,3.1921,0.2854,8.8598,8.4463,0.3931,-3.6896598,-3.1303654,0.5517,-2.4414384,-4.2570453,-3.561494,0.3647,-3.8889687,-1.5851068,9.356257,2.0608
3737,parallel5,303.3783,1.0,0.5484,3.9082,1.2246,5.7201,0.8709,-2.9793,0.0562,7.0564,14.548,0.2347,0.05,0.4282,0.4595,0.1384,0.046,0.1817,0.7714,0.4032,0,0.5484,3.9082,1.2246,5.7201,0.8709,0.0562,7.0564,14.548,0.2347,-4.321928,-1.2236433,0.4595,-2.853084,-4.442222,-2.4603696,0.7714,-1.3104324,0.0,8.244974,-2.9793
3727,series3_parallel2,241.5397,1.0,3.9002,5.0085,0.5245,4.1328,0.2186,-1.7193,0.0164,0.1727,5.0878,0.4964,0.0069,0.1123,0.6267,0.042,0.0399,0.2652,0.3656,0.1186,3,3.9002,5.0085,0.5245,4.1328,0.2186,0.0164,0.1727,5.0878,0.4964,-7.179188,-3.15457,0.6267,-4.573467,-4.6474676,-1.9148474,0.3656,-3.075824,0.0,7.9161167,-1.7193
463,parallel5,324.2241,0.1667,2.7884,3.5884,2.6058,4.6671,1.9422,2.8591,0.0532,2.7791,15.9942,0.2164,0.0218,0.3218,0.4723,0.0415,0.0037,0.0471,0.4778,0.0677,0,2.7884,3.5884,2.6058,4.6671,1.9422,0.0532,2.7791,15.9942,0.2164,-5.519528,-1.6357638,0.4723,-4.590745,-8.078259,-4.408129,0.4778,-3.8847003,-2.584674,8.340847,2.8591
3916,parallel5,369.67,0.1667,0.7133,2.8401,3.0492,3.3481,5.4551,0.1986,0.3951,1.2843,13.2271,0.5256,0.0122,0.182,0.2038,0.5703,0.0185,0.11,0.2953,0.1998,0,0.7133,2.8401,3.0492,3.3481,5.4551,0.3951,1.2843,13.2271,0.5256,-6.356975,-2.4579897,0.2038,-0.8102071,-5.756331,-3.1844246,0.2953,-2.3233714,-2.584674,8.530094,0.1986
1614,parallel5,357.5861,1.0,5.9145,3.8308,2.3911,1.073,1.4055,4.1267,0.171,2.3783,1.4054,0.0533,0.0325,0.4664,0.6075,0.0941,0.0081,0.0489,0.2066,0.1363,0,5.9145,3.8308,2.3911,1.073,1.4055,0.171,2.3783,1.4054,0.0533,-4.9434166,-1.1003603,0.6075,-3.4096615,-6.947862,-4.3540215,0.2066,-2.8751426,0.0,8.482147,4.1267
1722,series2x2_parallel1,315.819,0.25,2.3603,2.1957,2.4428,0.5289,0.4688,-5.2815,0.1409,6.7682,20.0936,0.5922,0.0109,0.0411,0.7138,0.1357,0.0072,0.6301,0.6468,0.2477,1,2.3603,2.1957,2.4428,0.5289,0.4688,0.1409,6.7682,20.0936,0.5922,-6.519528,-4.6047177,0.7138,-2.8815074,-7.1177874,-0.66634727,0.6468,-2.0133343,-2.0,8.302954,-5.2815
1253,parallel5,271.15,1.5,1.7456,4.1987,2.0066,3.0408,1.9134,10.9269,0.4392,0.669,12.2194,0.3512,0.0104,0.0414,0.3803,0.0211,0.0626,0.0998,0.8037,0.103,0,1.7456,4.1987,2.0066,3.0408,1.9134,0.4392,0.669,12.2194,0.3512,-6.5872726,-4.5942254,0.3803,-5.566613,-3.9976935,-3.3248165,0.8037,-3.2792838,0.5849625,8.082948,10.9269
2632,parallel5,94.3881,0.5,1.6866,1.1831,3.4727,1.0442,3.7711,8.0355,0.1467,8.774,8.4144,0.7348,0.0029,0.0611,0.2919,0.413,0.0072,0.1456,0.7669,0.4734,0,1.6866,1.1831,3.4727,1.0442,3.7711,0.1467,8.774,8.4144,0.7348,-8.429731,-4.032684,0.2919,-1.2757864,-7.1177874,-2.7799177,0.7669,-1.0788684,-1.0,6.560533,8.0355
3107,series2x2_parallel1,136.8876,0.6667,4.1736,2.6245,1.1628,0.9727,0.795,-4.81,0.3459,3.6482,6.4485,0.2497,0.0113,0.0651,0.284,0.0737,0.008,0.202,0.6672,0.6167,1,4.1736,2.6245,1.1628,0.9727,0.795,0.3459,3.6482,6.4485,0.2497,-6.4675336,-3.9411986,0.284,-3.7621915,-6.965784,-2.3075728,0.6672,-0.69735926,-0.58489037,7.096848,-4.81
2534,series2x2_parallel1,107.9003,0.2,0.7851,0.1691,1.4394,0.7056,2.1078,-7.4302,0.2618,1.7225,2.2927,0.3807,0.0027,0.233,0.7744,0.0847,0.0054,0.3256,0.4798,0.1767,1,0.7851,0.1691,1.4394,0.7056,2.1078,0.2618,1.7225,2.2927,0.3807,-8.5328245,-2.1015983,0.7744,-3.561494,-7.532825,-1.6188273,0.4798,-2.500626,-2.321928,6.753555,-7.4302
3595,series2x2_parallel1,550.4581,4.0,0.5035,1.1798,1.5066,2.9391,2.0904,11.0561,0.3267,3.1449,20.5952,0.3726,0.0572,0.1069,0.6122,0.2762,0.0308,0.42,0.5177,0.0875,1,0.5035,1.1798,1.5066,2.9391,2.0904,0.3267,3.1449,20.5952,0.3726,-4.127841,-3.2256663,0.6122,-1.8562148,-5.020926,-1.2515389,0.5177,-3.514573,2.0,9.104489,11.0561
2924,series2x2_parallel1,573.096,0.1667,1.7537,0.5794,5.6516,1.5805,0.6327,4.0599,0.0452,0.7283,11.7879,0.5036,0.0048,0.1477,0.4113,0.0755,0.002,0.0666,0.2581,0.1207,1,1.7537,0.5794,5.6516,1.5805,0.6327,0.0452,0.7283,11.7879,0.5036,-7.7027497,-2.7592583,0.4113,-3.7273796,-8.965784,-3.908334,0.2581,-3.0505023,-2.584674,9.162633,4.0599
1955,series2x2_parallel1,273.3116,4.0,2.22,1.9822,0.8472,0.2599,2.937,-11.6554,0.0713,2.6043,16.6231,0.3952,0.0033,0.1628,0.4748,0.0315,0.036,0.1417,0.6614,0.0418,1,2.22,1.9822,0.8472,0.2599,2.937,0.0713,2.6043,16.6231,0.3952,-8.243319,-2.6188273,0.4748,-4.9885044,-4.7958593,-2.8190885,0.6614,-4.5803533,2.0,8.094403,-11.6554
1939,series2x2_parallel1,93.5285,0.5,1.4042,1.0397,3.9341,0.7827,3.1707,-7.8879,0.0128,3.3333,9.9562,0.5034,0.0207,0.0303,0.5126,0.4946,0.0609,0.3909,0.1822,0.0937,1,1.4042,1.0397,3.9341,0.7827,3.1707,0.0128,3.3333,9.9562,0.5034,-5.5942254,-5.0445385,0.5126,-1.0156659,-4.037414,-1.3551285,0.1822,-3.4158072,-1.0,6.547334,-7.8879
3922,series3,144.4234,1.5,0.2164,4.1651,3.6741,1.3344,3.153,9.7355,0.0247,6.6979,2.9193,0.3445,0.0047,0.2121,0.5725,0.1217,0.0077,0.07,0.2494,0.1649,2,0.2164,4.1651,3.6741,1.3344,3.153,0.0247,6.6979,2.9193,0.3445,-7.733124,-2.2371836,0.5725,-3.038599,-7.020926,-3.8365014,0.2494,-2.6003366,0.5849625,7.1741605,9.7355
3069,series3_parallel2,446.6672,1.0,3.0792,4.1325,3.6386,4.0689,3.6487,-4.0495,0.3253,2.9778,0.1501,0.4287,0.0046,0.4854,0.8103,0.3247,0.0023,0.0964,0.8869,0.2852,3,3.0792,4.1325,3.6386,4.0689,3.6487,0.3253,2.9778,0.1501,0.4287,-7.7641506,-1.042754,0.8103,-1.6228207,-8.764151,-3.374823,0.8869,-1.8099542,0.0,8.803057,-4.0495
521,parallel5,147.6713,0.3333,0.4258,1.75,3.2324,0.5392,1.4054,-5.024,0.2985,1.1599,15.8201,0.35,0.0087,0.0598,0.4577,0.0836,0.0058,0.1711,0.8154,0.0753,0,0.4258,1.75,3.2324,0.5392,1.4054,0.2985,1.1599,15.8201,0.35,-6.844769,-4.0637107,0.4577,-3.5803533,-7.4297314,-2.5470881,0.8154,-3.7312064,-1.5851068,7.2062454,-5.024
2724,parallel5,202.4762,1.0,0.3815,2.0434,4.5309,1.0606,0.3074,-11.9007,0.1212,0.4778,9.579,0.3743,0.0083,0.0518,0.5046,0.225,0.0201,0.1379,0.5167,0.0785,0,0.3815,2.0434,4.5309,1.0606,0.3074,0.1212,0.4778,9.579,0.3743,-6.912673,-4.270904,0.5046,-2.152003,-5.6366606,-2.8583057,0.5167,-3.6711636,0.0,7.6616087,-11.9007
331,series3,68.4868,0.6667,3.2715,1.6384,3.2962,3.0805,5.2985,-2.5172,0.1615,4.8598,6.8221,0.2307,0.0025,0.0666,0.7637,0.1684,0.0668,0.1349,0.6252,0.7489,2,3.2715,1.6384,3.2962,3.0805,5.2985,0.1615,4.8598,6.8221,0.2307,-8.643856,-3.908334,0.7637,-2.570036,-3.9040082,-2.8900378,0.6252,-0.41715503,-0.58489037,6.097754,-2.5172
1843,series3,750.8027,0.1667,5.1938,2.4215,1.5329,2.8677,0.415,-8.3843,0.2181,0.2206,4.8744,0.498,0.0024,0.038,0.463,0.0342,0.0019,0.103,0.2833,0.0894,2,5.1938,2.4215,1.5329,2.8677,0.415,0.2181,0.2206,4.8744,0.498,-8.70275,-4.717857,0.463,-4.8698597,-9.039784,-3.2792838,0.2833,-3.4835813,-2.584674,9.55229,-8.3843
3579,parallel5,355.0402,3.0,0.882,4.4638,1.7128,1.4873,0.2675,0.736,0.2639,4.6939,9.6783,0.0836,0.0137,0.1146,0.868,0.0305,0.01,0.2707,0.893,0.0516,0,0.882,4.4638,1.7128,1.4873,0.2675,0.2639,4.6939,9.6783,0.0836,-6.18968,-3.125321,0.868,-5.035047,-6.643856,-1.8852332,0.893,-4.276485,1.5849625,8.471839,0.736
368,parallel5,213.1452,4.0,3.2632,0.5711,2.0095,3.345,1.8874,-10.5323,0.1757,6.4604,10.6876,0.7826,0.0049,0.1701,0.2548,0.1381,0.0033,0.4424,0.1562,0.064,0,3.2632,0.5711,2.0095,3.345,1.8874,0.1757,6.4604,10.6876,0.7826,-7.6730027,-2.5555449,0.2548,-2.8562148,-8.243319,-1.1765767,0.1562,-3.9657843,2.0,7.735693,-10.5323
924,parallel5,107.7499,0.2,0.7803,2.0859,1.2191,1.524,5.7682,-0.5831,0.0037,7.9775,4.0297,0.0055,0.0638,0.3576,0.5186,0.32,0.0074,0.1753,0.3476,0.6942,0,0.7803,2.0859,1.2191,1.524,5.7682,0.0037,7.9775,4.0297,0.0055,-3.9702997,-1.4835813,0.5186,-1.6438562,-7.078259,-2.5121021,0.3476,-0.52657676,-2.321928,6.7515426,-0.5831
1663,series3_parallel2,261.5428,0.25,2.9593,2.388,0.1746,5.3218,3.2471,4.3889,0.2691,5.7573,11.8868,0.2088,0.0185,0.1106,0.368,0.0435,0.0017,0.0685,0.4906,0.0612,3,2.9593,2.388,0.1746,5.3218,3.2471,0.2691,5.7573,11.8868,0.2088,-5.756331,-3.1765766,0.368,-4.522841,-9.20025,-3.8677523,0.4906,-4.0303245,-2.0,8.030903,4.3889
2241,parallel5,77.3453,0.2,4.8507,3.0342,4.7357,0.2666,1.5362,7.3329,0.1476,3.7489,11.1266,0.2759,0.0083,0.3508,0.6627,0.0965,0.0095,0.06,0.9287,0.0517,0,4.8507,3.0342,4.7357,0.2666,1.5362,0.1476,3.7489,11.1266,0.2759,-6.912673,-1.5112793,0.6627,-3.3733273,-6.717857,-4.0588937,0.9287,-4.273692,-2.321928,6.2732415,7.3329
14,series2x2_parallel1,265.3044,0.125,3.8236,2.3614,0.7506,5.3173,2.881,-2.4708,0.1089,3.0855,15.5429,0.0036,0.0571,0.4253,0.8241,0.0937,0.008,0.251,0.4993,0.2675,1,3.8236,2.3614,0.7506,5.3173,2.881,0.1089,3.0855,15.5429,0.0036,-4.1303654,-1.2334472,0.8241,-3.4158072,-6.965784,-1.9942408,0.4993,-1.9023892,-3.0,8.051505,-2.4708
1386,series3_parallel2,219.0475,0.3333,2.718,5.7084,3.705,4.6073,0.3548,6.9383,0.1961,4.9014,12.245,0.1007,0.0448,0.3885,0.4296,0.0536,0.0026,0.391,0.8027,0.1185,3,2.718,5.7084,3.705,4.6073,0.3548,0.1961,4.9014,12.245,0.1007,-4.4803576,-1.3640134,0.4296,-4.2216234,-8.587273,-1.3547595,0.8027,-3.077041,-1.5851068,7.7750998,6.9383
3969,series3_parallel2,76.4897,1.5,0.7082,4.3098,2.4955,0.318,5.4216,-0.0977,0.3656,5.4739,14.1661,0.4076,0.0039,0.481,0.5696,0.0514,0.0189,0.0661,0.771,0.0941,3,0.7082,4.3098,2.4955,0.318,5.4216,0.3656,5.4739,14.1661,0.4076,-8.00231,-1.0558912,0.5696,-4.282088,-5.72547,-3.919206,0.771,-3.4096615,0.5849625,6.2571936,-0.0977
2457,series3,381.8894,4.0,2.9982,3.0607,0.5059,5.0805,0.9655,6.4501,0.4186,3.8302,17.2605,0.3228,0.0463,0.0613,0.1802,0.1093,0.0478,0.397,0.244,0.3013,2,2.9982,3.0607,0.5059,5.0805,0.9655,0.4186,3.8302,17.2605,0.3228,-4.432844,-4.0279694,0.1802,-3.1936347,-4.3868456,-1.3327891,0.244,-1.7307274,2.0,8.577011,6.4501
2268,parallel5,222.588,1.5,2.1745,1.4711,1.5,1.8097,3.722,8.9938,0.0833,6.1858,1.5895,0.6645,0.0167,0.1168,0.7355,0.3076,0.0307,0.3943,0.3389,0.1744,0,2.1745,1.4711,1.5,1.8097,3.722,0.0833,6.1858,1.5895,0.6645,-5.904008,-3.0978878,0.7355,-1.7008727,-5.0256176,-1.3426343,0.3389,-2.5195282,0.5849625,7.798232,8.9938
1793,parallel5,151.5044,0.3333,1.0197,0.6502,4.1774,0.2508,1.2603,-2.1261,0.0008,7.3338,4.0394,0.3926,0.0032,0.1128,0.7709,0.3954,0.0381,0.046,0.7234,0.052,0,1.0197,0.6502,4.1774,0.2508,1.2603,0.0008,7.3338,4.0394,0.3926,-8.287712,-3.148161,0.7709,-1.3386153,-4.714065,-4.442222,0.7234,-4.2653446,-1.5851068,7.243216,-2.1261
2419,series3_parallel2,448.8681,0.6667,3.9473,0.6027,2.4819,0.4216,3.282,-10.6043,0.27,7.1433,20.6285,0.0992,0.029,0.3224,0.7027,0.0716,0.0574,0.0718,0.9384,0.2697,3,3.9473,0.6027,2.4819,0.4216,3.282,0.27,7.1433,20.6285,0.0992,-5.1078033,-1.6330763,0.7027,-3.8038967,-4.1228056,-3.7998724,0.9384,-1.8905727,-0.58489037,8.810148,-10.6043
1312,series3,65.5928,3.0,2.7601,0.92,2.7916,1.3604,3.6375,-6.4531,0.438,4.7497,15.4114,0.5548,0.0101,0.1948,0.8108,0.0211,0.0664,0.0706,0.7921,0.0768,2,2.7601,0.92,2.7916,1.3604,3.6375,0.438,4.7497,15.4114,0.5548,-6.629501,-2.3599343,0.8108,-5.566613,-3.912673,-3.824188,0.7921,-3.7027497,1.5849625,6.0354652,-6.4531
1132,parallel5,788.1035,2.0,2.9657,1.4759,1.9019,0.2736,1.5548,1.7432,0.0527,8.52,11.332,0.5911,0.0046,0.4569,0.3923,0.1879,0.012,0.5791,0.2404,0.1251,0,2.9657,1.4759,1.9019,0.2736,1.5548,0.0527,8.52,11.332,0.5911,-7.7641506,-1.1300496,0.3923,-2.411963,-6.3808217,-0.78811556,0.2404,-2.9988463,1.0,9.622241,1.7432
3440,series3,183.1856,0.25,3.9656,0.9283,5.4544,3.4484,4.6446,-0.6589,0.3833,0.225,15.4325,0.1538,0.0033,0.1208,0.6955,0.1441,0.0392,0.3474,0.5082,0.0587,2,3.9656,0.9283,5.4544,3.4484,4.6446,0.3833,0.225,15.4325,0.1538,-8.243319,-3.0493076,0.6955,-2.7948577,-4.6730027,-1.5253303,0.5082,-4.0904956,-2.0,7.5171623,-0.6589
