id,algorithm,algorithm_family,frequencia_base,ratio_carrier,index_12,index_23,index_3c,index_4c,index_5c,detune_carrier,feedback,lfo_rate,lfo_depth_cents,key_scaling,env_mod_attack,env_mod_decay,env_mod_sustain,env_mod_release,env_car_attack,env_car_decay,env_car_sustain,env_car_release,algorithm_idx,ratio_log2_head,freq_log2_head
2157,parallel5,parallel,786.0114,0.3333,3.385,4.772,0.2308,3.3601,1.5419,1.3098,0.0949,0.1556,5.2468,0.0284,0.0051,0.0389,0.0908,0.0469,0.011,0.1159,0.3696,0.0467,0,-1.5851068,9.618406
1540,parallel5,parallel,98.9871,0.1667,0.1985,1.5377,2.8967,1.252,0.4154,0.3673,0.0628,0.7798,6.0078,0.0869,0.0019,0.0386,0.1859,0.0259,0.0026,0.0546,0.2282,0.047,0,-2.584674,6.6291685
2420,series2x2_parallel1,parallel,433.7388,4.0,1.0705,3.3266,3.9435,5.786,2.0165,0.7717,0.1349,2.2149,6.694,0.0635,0.0061,0.0367,0.1237,0.0378,0.0245,0.141,0.8547,0.2494,1,2.0,8.760683
2474,series3,series,343.0866,4.0,2.1239,0.3484,2.5877,2.9839,3.9452,-2.437,0.1791,1.1814,0.6966,0.2293,0.0673,0.1228,0.5689,0.3372,0.0156,0.1035,0.6829,0.0435,2,2.0,8.422429
2712,series2x2_parallel1,parallel,399.9188,0.1667,2.0052,0.3586,2.9053,0.6534,1.6731,-1.5345,0.0231,1.6306,3.2005,0.2045,0.0105,0.1021,0.2666,0.0696,0.0353,0.1576,0.5228,0.2487,1,-2.584674,8.643563
2868,series3,series,83.2336,4.0,1.3794,1.84,3.98,0.4694,0.8126,-0.143,0.1706,1.0381,5.9164,0.0309,0.0187,0.17,0.3579,0.0701,0.0463,0.1381,0.7062,0.2345,2,2.0,6.379094
54,series2x2_parallel1,parallel,325.775,1.5,2.7726,0.9075,0.5362,1.0664,5.2184,-0.1651,0.1791,2.6416,3.8824,0.1536,0.0032,0.0974,0.1288,0.0514,0.0039,0.0479,0.248,0.0263,1,0.5849625,8.347733
2232,series3,series,578.0568,0.3333,5.8003,1.1569,0.1896,5.2517,5.304,2.9077,0.1633,1.644,5.0639,0.0259,0.002,0.0564,0.1578,0.0769,0.0062,0.0404,0.3669,0.057,2,-1.5851068,9.175068
3883,series2x2_parallel1,parallel,278.5085,0.25,5.2399,3.5099,1.9671,1.5281,0.9977,1.1241,0.0929,2.6494,0.0772,0.0587,0.0036,0.0634,0.1915,0.1499,0.0049,0.1378,0.2924,0.0341,1,-2.0,8.121577
617,series3,series,120.7192,3.0,3.6922,1.4726,0.2994,3.6877,2.9048,-2.7942,0.0911,2.0033,0.0572,0.0823,0.0021,0.0536,0.0404,0.0217,0.0062,0.0941,0.2637,0.0343,2,1.5849625,6.915511
1601,series3,series,193.4394,1.5,5.135,1.6461,1.2559,0.1696,0.2508,-2.7062,0.1021,0.6938,4.4727,0.0421,0.0256,0.1009,0.7612,0.1685,0.0049,0.0728,0.4541,0.026,2,0.5849625,7.595738
654,series3,series,145.5261,3.0,2.3065,3.0852,0.4312,0.6154,5.2457,-2.1482,0.0508,1.7,2.53,0.1055,0.0021,0.0264,0.1247,0.0281,0.0117,0.0303,0.2403,0.0193,2,1.5849625,7.185134
2841,series3,series,71.3311,0.1667,5.6879,2.079,1.7544,2.3694,4.4902,1.1179,0.1708,0.8568,4.0216,0.2472,0.0915,0.1186,0.8975,0.2602,0.0237,0.182,0.6023,0.4069,2,-2.584674,6.1564593
4038,parallel5,parallel,65.2905,1.0,3.1778,0.6525,5.6759,0.5035,1.1798,-0.3262,0.148,1.8071,3.7971,0.1592,0.0075,0.0684,0.1029,0.0886,0.0122,0.0875,0.3393,0.1303,0,0.0,6.028801
23,series3,series,90.3286,4.0,2.2895,2.628,3.6406,1.3152,2.2247,-1.916,0.063,1.857,2.0827,0.2433,0.0026,0.0491,0.1218,0.0656,0.002,0.0292,0.285,0.1135,2,2.0,6.497111
83,series3,series,286.6998,0.6667,1.8436,1.7611,1.9707,2.9907,1.2417,-2.102,0.0132,0.8071,1.9492,0.1791,0.0608,0.1095,0.7049,0.1543,0.0109,0.0566,0.0623,0.0412,2,-0.58489037,8.163397
999,parallel5,parallel,70.0379,0.1667,0.2475,3.1243,2.7737,4.6421,3.2811,1.3142,0.1552,2.0278,2.7839,0.0581,0.103,0.082,0.4884,0.1928,0.0061,0.2283,0.4116,0.1068,0,-2.584674,6.130064
2151,series3_parallel2,series,70.8737,4.0,1.1667,0.2192,1.281,2.5898,2.5143,-2.518,0.0156,0.1538,6.6852,0.201,0.0026,0.0538,0.0599,0.0188,0.0118,0.1047,0.1956,0.0168,3,2.0,6.1471786
3549,parallel5,parallel,165.5382,0.5,3.4924,3.4779,0.8699,0.7533,3.3199,-2.4075,0.0952,1.8972,0.8033,0.1384,0.0028,0.0627,0.1189,0.033,0.0224,0.2175,0.7692,0.449,0,-1.0,7.3710203
2572,parallel5,parallel,465.8501,3.0,0.889,2.43,1.0994,2.5128,2.3079,1.2577,0.0798,2.9044,0.4559,0.0209,0.0247,0.1715,0.5634,0.0977,0.0087,0.146,0.2485,0.2219,0,1.5849625,8.863722
3437,series2x2_parallel1,parallel,212.8023,4.0,3.2835,2.9006,4.0365,1.844,2.3349,0.9534,0.1238,3.6933,2.2373,0.1541,0.0248,0.1,0.8573,0.1004,0.0947,0.1162,0.7436,0.0885,1,2.0,7.73337
3206,series2x2_parallel1,parallel,134.3532,0.3333,0.4295,4.4394,3.7761,4.7427,1.9302,-2.7764,0.0924,3.768,6.2371,0.2331,0.0271,0.143,0.5232,0.1437,0.0237,0.2567,0.7564,0.1632,1,-1.5851068,7.0698867
1895,series2x2_parallel1,parallel,693.8389,0.125,2.8598,0.2447,0.193,3.4902,2.3539,-0.8752,0.0569,0.6092,1.6374,0.1696,0.0016,0.0353,0.1519,0.0217,0.0517,0.0792,0.8936,0.1052,1,-3.0,9.438457
3288,series3,series,68.5774,0.125,3.0517,3.4908,2.9441,0.9658,2.8517,-1.3591,0.1663,3.0408,6.2376,0.1306,0.0016,0.0695,0.2868,0.0727,0.0043,0.1335,0.4694,0.0449,2,-3.0,6.0996614
2764,series3,series,245.3641,0.1667,0.3095,2.53,0.6253,1.692,1.7263,0.8889,0.1147,1.7458,6.3169,0.134,0.0285,0.0974,0.8664,0.2155,0.1235,0.0722,0.9578,0.0801,2,-2.584674,7.9387803
3169,parallel5,parallel,302.0616,4.0,3.8092,2.1317,2.9926,5.5676,5.1576,0.2346,0.1582,2.0557,0.5329,0.0635,0.0168,0.2168,0.7065,0.0691,0.1529,0.0654,0.4869,0.2152,0,2.0,8.238699
1424,parallel5,parallel,122.379,0.25,0.1536,1.6331,2.6197,1.4765,2.9264,-0.6284,0.157,0.5735,0.8143,0.2257,0.002,0.0406,0.2349,0.1361,0.1261,0.1026,0.584,0.163,0,-2.0,6.935212
1363,series3,series,92.8646,4.0,1.3895,0.8525,0.9936,1.5878,0.3831,-0.5617,0.1767,3.3718,7.3345,0.0619,0.0058,0.0307,0.1627,0.0254,0.0049,0.1588,0.5259,0.184,2,2.0,6.537057
175,series3_parallel2,series,233.1308,4.0,3.8,3.2012,3.2179,2.2641,2.2557,1.3906,0.1459,3.4071,2.4841,0.2117,0.0042,0.0737,0.1288,0.0157,0.0137,0.2801,0.7537,0.0792,3,2.0,7.864996
1067,series2x2_parallel1,parallel,400.6386,0.1667,1.2143,2.4023,4.1363,0.4463,1.0205,1.2688,0.109,1.4406,2.6801,0.2036,0.0033,0.0575,0.1258,0.0417,0.0018,0.1431,0.2963,0.0223,1,-2.584674,8.646157
146,parallel5,parallel,384.0876,2.0,3.8704,1.4391,1.5444,3.8648,2.1126,1.3719,0.0324,2.8247,1.4035,0.1609,0.0019,0.0448,0.2055,0.0433,0.051,0.0729,0.7008,0.1808,0,1.0,8.585292
1083,series3_parallel2,series,141.0605,3.0,1.7177,1.5224,0.4486,3.7366,0.6439,0.679,0.1373,2.546,2.597,0.1782,0.0288,0.2118,0.4867,0.0976,0.101,0.1697,0.5927,0.5351,3,1.5849625,7.14017
526,parallel5,parallel,123.9383,2.0,0.2013,2.3771,0.4006,0.4715,2.7479,1.5592,0.039,0.2663,6.1442,0.1484,0.002,0.0266,0.084,0.0425,0.0579,0.0635,0.5073,0.2656,0,1.0,6.9534783
3094,series2x2_parallel1,parallel,136.7991,0.1667,3.7873,4.0076,2.8153,3.5325,0.3071,0.9779,0.1452,0.0419,5.6659,0.1278,0.0024,0.0426,0.276,0.1292,0.0023,0.0988,0.2267,0.0506,1,-2.584674,7.095915
3530,series3,series,160.2209,0.25,2.5397,0.385,2.4914,3.8286,1.6448,-2.2255,0.0046,3.9931,1.8072,0.1145,0.0094,0.0991,0.5147,0.1783,0.0072,0.0624,0.2069,0.1604,2,-2.0,7.3239183
1273,series2x2_parallel1,parallel,678.7965,0.25,2.8149,4.2574,4.8122,3.4398,5.1771,-0.5127,0.1525,1.3409,4.4131,0.1048,0.0023,0.1412,0.0876,0.1357,0.0255,0.1782,0.5349,0.1487,1,-2.0,9.406836
460,series2x2_parallel1,parallel,571.5629,0.2,0.8128,5.9424,0.1866,2.4013,0.7083,-0.4741,0.1692,3.577,5.3956,0.1013,0.0763,0.0723,0.7758,0.0942,0.011,0.1185,0.2936,0.1316,1,-2.321928,9.158769
166,series2x2_parallel1,parallel,361.6309,1.0,4.8955,1.2075,3.4267,1.2146,3.6135,2.4176,0.0093,1.5185,6.8073,0.2206,0.0067,0.0495,0.3095,0.0579,0.0024,0.0894,0.0995,0.0653,1,0.0,8.498374
674,series3_parallel2,series,137.149,2.0,0.3629,2.7959,3.8633,2.1569,3.3796,1.7528,0.153,3.5,1.3472,0.0118,0.017,0.1372,0.4242,0.0754,0.0034,0.1946,0.1244,0.0272,3,1.0,7.0996003
2175,series2x2_parallel1,parallel,90.1139,1.5,3.359,2.4342,5.3111,0.4446,3.741,-2.0313,0.1055,0.3567,5.0452,0.2071,0.0054,0.0255,0.0482,0.0655,0.094,0.0859,0.4587,0.1102,1,0.5849625,6.4936776
716,series2x2_parallel1,parallel,119.2602,1.5,1.0663,4.1058,1.0173,2.4703,0.301,2.722,0.1603,0.4192,1.2759,0.0966,0.0038,0.0717,0.1386,0.0263,0.002,0.0581,0.074,0.0965,1,0.5849625,6.897969
3140,series3_parallel2,series,644.3454,1.0,4.2659,0.3297,2.2982,2.0285,1.9876,0.9412,0.1669,2.0223,4.4987,0.0619,0.0458,0.0628,0.8458,0.1228,0.0714,0.0913,0.8324,0.0884,3,0.0,9.331691
2224,parallel5,parallel,158.6734,2.0,0.4999,0.6274,1.376,1.9921,2.5177,0.3887,0.0615,3.1062,1.6975,0.2087,0.0024,0.1016,0.3332,0.0377,0.0023,0.0863,0.1466,0.1461,0,1.0,7.3099165
3179,series2x2_parallel1,parallel,304.9418,0.25,0.6069,1.6887,2.0613,4.2539,1.6121,-0.0685,0.0926,2.7237,1.2838,0.0071,0.0058,0.0613,0.2114,0.0521,0.0043,0.1121,0.5532,0.1436,1,-2.0,8.25239
1737,series3_parallel2,series,718.458,0.2,2.5944,0.309,3.4975,2.7029,3.919,-1.3636,0.149,0.0552,5.4344,0.0976,0.004,0.1632,0.1058,0.0711,0.0279,0.2269,0.9514,0.091,3,-2.321928,9.48876
1002,series2x2_parallel1,parallel,171.9224,0.25,3.2173,0.9113,4.4137,1.2609,3.8777,1.7301,0.0401,2.0887,1.0504,0.1865,0.0019,0.0811,0.2515,0.101,0.0116,0.051,0.2493,0.1093,1,-2.0,7.425614
851,parallel5,parallel,93.7935,0.25,5.8761,0.3455,3.175,2.04,3.3466,2.8311,0.0769,0.704,7.5314,0.1492,0.007,0.0391,0.1713,0.0285,0.0102,0.1321,0.0733,0.0254,0,-2.0,6.551416
837,parallel5,parallel,131.2363,0.1667,0.4172,1.3282,5.777,0.6097,1.913,-0.5328,0.1711,1.7565,2.9915,0.0137,0.002,0.0294,0.1431,0.0314,0.0785,0.2137,0.4802,0.3284,0,-2.584674,7.036023
3358,series2x2_parallel1,parallel,580.8004,0.3333,1.1262,4.1859,3.3693,3.0069,1.806,0.5859,0.0707,3.0955,1.177,0.0075,0.005,0.1103,0.746,0.0408,0.1242,0.0899,0.451,0.2746,1,-1.5851068,9.181899
2715,series2x2_parallel1,parallel,438.6825,3.0,0.3639,1.4258,4.3959,4.4059,2.6382,2.4178,0.0436,2.3308,5.2368,0.076,0.0119,0.2334,0.7673,0.1073,0.0211,0.1547,0.8636,0.0952,1,1.5849625,8.777033
3318,parallel5,parallel,158.079,0.25,5.2287,0.6133,1.2366,4.575,3.3607,-2.5897,0.0634,3.0358,4.0998,0.0848,0.0051,0.0382,0.1915,0.035,0.1587,0.2387,0.5427,0.2773,0,-2.0,7.304502
1603,series3_parallel2,series,113.6457,1.5,1.1647,1.3807,1.7762,5.9337,0.25,-0.3515,0.0047,1.723,5.195,0.0636,0.002,0.0291,0.2126,0.0859,0.0031,0.0595,0.2836,0.0361,3,0.5849625,6.828399
3440,parallel5,parallel,269.5405,2.0,3.7041,0.4404,0.3376,0.2265,2.8945,0.3856,0.0808,0.6501,1.3508,0.1934,0.0236,0.0829,0.5316,0.2542,0.0023,0.0974,0.0867,0.0491,0,1.0,8.074358
156,series3,series,104.8064,1.0,0.171,2.2069,1.6714,1.0901,0.1689,-2.9193,0.1264,1.67,1.3619,0.1734,0.003,0.025,0.2053,0.0815,0.0225,0.1528,0.6695,0.1143,2,0.0,6.711583
2743,series3,series,180.9269,0.6667,1.2355,0.9244,1.7652,4.3348,4.1672,0.5984,0.1157,2.0161,6.4152,0.1383,0.0042,0.1957,0.757,0.0529,0.0112,0.2391,0.2218,0.0712,2,-0.58489037,7.4992633
1502,series3,series,173.538,0.5,1.6118,0.3388,0.4221,1.7526,1.363,-2.6977,0.0304,2.7468,5.2374,0.0815,0.0266,0.1165,0.3585,0.1992,0.002,0.1312,0.2481,0.0587,2,-1.0,7.439108
3579,series3_parallel2,series,179.018,0.6667,3.4536,4.9473,5.2892,3.3195,1.1995,-0.4612,0.0604,1.9521,5.1397,0.1352,0.0039,0.1546,0.3087,0.0211,0.0017,0.2069,0.2455,0.1136,3,-0.58489037,7.483961
3084,parallel5,parallel,102.335,0.3333,2.746,4.8171,1.4369,4.0338,1.543,2.1715,0.0241,0.1421,6.2916,0.1589,0.0028,0.0356,0.2015,0.0657,0.0058,0.2002,0.0985,0.1469,0,-1.5851068,6.677156
3981,series3_parallel2,series,701.9592,4.0,0.8765,2.1537,0.9964,4.7266,2.1802,0.3052,0.0743,3.7278,6.4088,0.1716,0.0026,0.027,0.1442,0.0249,0.0203,0.2595,0.5077,0.0653,3,2.0,9.455243
1805,series3,series,102.1923,4.0,0.5759,1.5361,5.6415,3.106,1.278,2.2935,0.0356,2.1962,4.7322,0.2443,0.0025,0.0806,0.3266,0.0551,0.0132,0.0886,0.0874,0.0357,2,2.0,6.675143
3115,series2x2_parallel1,parallel,858.7705,0.3333,2.1332,1.509,2.3352,2.2358,3.3627,-0.8443,0.1467,2.3438,5.5019,0.0909,0.0056,0.098,0.6813,0.214,0.0224,0.2276,0.5374,0.0556,1,-1.5851068,9.746129
1166,series3,series,133.3728,0.5,0.2383,1.0784,2.0898,3.4297,1.5455,1.4239,0.1304,1.7019,3.33,0.2323,0.0024,0.0985,0.3487,0.0591,0.0023,0.0396,0.1698,0.0617,2,-1.0,7.059321
2272,series3_parallel2,series,395.3443,0.5,3.9529,0.6599,2.1141,3.0359,0.711,-0.8852,0.0651,1.1766,4.4847,0.0111,0.0108,0.1244,0.6838,0.1,0.0015,0.223,0.2921,0.0326,3,-1.0,8.6269655
1810,series3_parallel2,series,681.4965,0.25,0.5777,3.2996,2.023,2.9592,1.4707,-1.9265,0.1663,1.719,6.4846,0.1615,0.0205,0.1714,0.5001,0.2471,0.0091,0.1109,0.3257,0.0871,3,-2.0,9.412562
288,series3_parallel2,series,125.7692,0.25,5.5433,3.9992,0.9825,3.8119,5.1671,1.4863,0.1259,3.4376,3.309,0.2314,0.0472,0.0679,0.4906,0.1074,0.0048,0.056,0.1394,0.0718,3,-2.0,6.9746346
846,series3_parallel2,series,128.902,0.25,0.9561,3.4548,2.9625,0.3937,4.192,-1.5713,0.0576,3.1086,3.1388,0.2163,0.0065,0.0548,0.2034,0.0243,0.0065,0.0493,0.2844,0.1558,3,-2.0,7.010131
981,series3_parallel2,series,94.6892,1.5,1.6388,2.8592,0.8225,0.8855,4.0896,2.986,0.0348,2.0955,3.5107,0.194,0.087,0.1145,0.8432,0.3158,0.1367,0.1756,0.7078,0.2188,3,0.5849625,6.565128
898,series3_parallel2,series,581.9357,0.5,4.3787,0.2971,4.841,2.0591,0.4037,-2.5852,0.0438,1.0933,4.3905,0.0283,0.0093,0.1595,0.1712,0.0664,0.0023,0.0703,0.3041,0.0355,3,-1.0,9.184716
3062,series3,series,75.8467,0.2,1.0472,3.2596,1.3235,4.6191,3.9678,-0.1161,0.0795,3.8765,0.0615,0.1104,0.0021,0.0407,0.1396,0.0459,0.0062,0.0467,0.1703,0.0251,2,-2.321928,6.2450147
2137,series3,series,257.9421,0.6667,0.6797,3.5475,0.3823,0.6323,3.0792,-2.61,0.0322,3.2436,2.8967,0.0147,0.004,0.0493,0.1261,0.0185,0.0132,0.0586,0.2516,0.0416,2,-0.58489037,8.010903
3987,series2x2_parallel1,parallel,527.5605,1.0,3.2513,0.8166,1.496,1.1998,2.6392,1.62,0.1176,1.2851,6.0085,0.1622,0.0083,0.0789,0.1168,0.055,0.0303,0.0931,0.5421,0.0795,1,0.0,9.043193
152,series3_parallel2,series,154.921,0.3333,3.2112,0.2582,0.4507,2.4437,0.4852,-0.3112,0.112,3.1873,4.6877,0.0452,0.0065,0.0465,0.1805,0.0899,0.0036,0.1286,0.182,0.0215,3,-1.5851068,7.2753887
1362,series3_parallel2,series,646.0567,2.0,5.6322,4.1445,0.9548,1.9413,1.6346,2.7471,0.0376,2.4941,7.2173,0.2348,0.0067,0.0704,0.2372,0.0831,0.0348,0.1776,0.9453,0.3794,3,1.0,9.335517
3611,series3_parallel2,series,394.4739,0.3333,1.94,5.8318,1.226,1.3824,4.4822,0.7676,0.0335,2.3034,4.9227,0.1434,0.0035,0.0542,0.0711,0.0516,0.0167,0.1077,0.4873,0.0991,3,-1.5851068,8.623786
1003,series3,series,294.802,0.5,3.4705,0.9023,4.7336,2.8181,2.8798,0.9816,0.0576,3.6344,3.7118,0.1084,0.0046,0.0764,0.1313,0.0162,0.0016,0.1723,0.3003,0.0322,2,-1.0,8.203603
932,series3,series,122.0508,4.0,0.9921,0.9287,0.7779,1.5655,4.2851,-0.7709,0.1794,2.3376,7.9942,0.0681,0.0019,0.0406,0.1063,0.1147,0.0877,0.1929,0.9177,0.0885,2,2.0,6.931338
3208,series2x2_parallel1,parallel,156.9897,3.0,2.3352,1.9228,0.6136,0.5514,4.0128,2.1681,0.0124,2.327,6.4659,0.1495,0.0087,0.075,0.1493,0.119,0.0087,0.1133,0.8125,0.0645,1,1.5849625,7.294526
432,series2x2_parallel1,parallel,209.5587,0.25,2.3101,2.7968,4.4971,2.4278,0.854,1.2499,0.0388,0.824,6.8039,0.2266,0.0083,0.1597,0.7057,0.1057,0.0044,0.1432,0.6897,0.0947,1,-2.0,7.7112107
2990,parallel5,parallel,75.894,4.0,1.6828,3.7659,5.6233,1.9915,0.4586,-0.6474,0.0454,0.5988,4.037,0.1371,0.0029,0.0822,0.086,0.0155,0.0103,0.114,0.355,0.1167,0,2.0,6.245914
3851,series2x2_parallel1,parallel,72.5158,4.0,1.2351,2.4376,2.1533,0.3766,1.457,1.8516,0.0144,0.9767,0.1609,0.2414,0.0068,0.0256,0.1225,0.0346,0.0387,0.2253,0.647,0.1461,1,2.0,6.1802235
2498,series2x2_parallel1,parallel,479.4031,0.6667,2.0681,1.4528,2.3352,1.8805,1.1944,-2.8868,0.1587,1.8979,4.5425,0.0787,0.0019,0.1102,0.1972,0.0849,0.0061,0.0566,0.1636,0.0239,1,-0.58489037,8.905095
3212,series3_parallel2,series,182.2252,0.6667,4.9404,2.9527,3.2658,0.8429,3.0998,-2.2064,0.0849,3.5999,1.5507,0.2347,0.0071,0.079,0.3215,0.0277,0.035,0.1612,0.4709,0.0456,3,-0.58489037,7.5095787
1598,series2x2_parallel1,parallel,374.7987,0.5,2.9786,3.9505,1.0176,2.9754,0.8824,-2.6859,0.1344,1.5384,2.1332,0.1533,0.0929,0.1204,0.6374,0.1066,0.0103,0.3103,0.8556,0.3239,1,-1.0,8.549973
3678,series3,series,113.0431,0.1667,2.328,2.6363,2.3627,3.4384,1.861,2.4205,0.0204,2.1748,7.5887,0.2361,0.0069,0.0611,0.1476,0.0908,0.0079,0.0838,0.0818,0.0505,2,-2.584674,6.8207293
1762,series2x2_parallel1,parallel,219.3259,2.0,4.0404,1.5074,4.0796,3.3253,3.0774,-2.1556,0.0896,2.3036,6.7412,0.0876,0.0077,0.0951,0.1782,0.0352,0.0089,0.0606,0.0719,0.072,1,1.0,7.7769322
4059,series2x2_parallel1,parallel,343.6135,0.6667,3.5154,3.3079,3.9582,2.439,1.568,-2.6748,0.0522,3.0794,0.7861,0.0894,0.0041,0.1648,0.1741,0.0682,0.0134,0.0682,0.3017,0.0856,1,-0.58489037,8.424643
482,parallel5,parallel,611.9265,0.5,4.4563,0.3716,2.9685,3.7436,4.0987,2.9583,0.0358,3.8234,5.4274,0.0541,0.005,0.147,0.523,0.1814,0.1201,0.1719,0.7408,0.1247,0,-1.0,9.257215
2020,series2x2_parallel1,parallel,205.2475,0.3333,3.2537,2.2211,2.9622,2.309,0.2325,-1.3057,0.1007,0.5753,0.6108,0.1195,0.003,0.0826,0.1755,0.0487,0.0134,0.1071,0.2655,0.0635,1,-1.5851068,7.681221
1889,series2x2_parallel1,parallel,797.699,0.5,1.2293,1.5662,2.7995,3.218,4.0886,2.8436,0.0794,2.3012,0.6981,0.0985,0.0086,0.1077,0.7031,0.0552,0.0067,0.0418,0.4225,0.0547,1,-1.0,9.639701
4049,series2x2_parallel1,parallel,297.2511,0.125,1.6144,5.999,0.658,1.229,5.9439,-0.0639,0.0653,3.349,0.407,0.082,0.0027,0.0626,0.2059,0.0396,0.0187,0.1028,0.6382,0.06,1,-3.0,8.215538
1748,series2x2_parallel1,parallel,352.4074,3.0,3.2353,5.5916,1.5392,1.1854,2.2186,-0.2426,0.1311,1.7186,7.7352,0.164,0.0035,0.1042,0.1888,0.0444,0.0061,0.1885,0.8397,0.133,1,1.5849625,8.461101
1824,series3_parallel2,series,260.2444,2.0,5.9329,3.9337,4.6583,5.3955,1.6066,-1.0978,0.1007,1.374,6.8058,0.0267,0.0224,0.1397,0.5012,0.1101,0.0109,0.0543,0.0589,0.1394,3,1.0,8.023724
2478,series3_parallel2,series,142.4647,0.2,0.7182,2.2428,0.2727,2.9509,3.4546,-0.6438,0.1165,1.4478,5.3245,0.1833,0.0051,0.0679,0.0786,0.0626,0.039,0.1188,0.6494,0.2568,3,-2.321928,7.154461
562,series2x2_parallel1,parallel,492.6568,2.0,3.56,0.2661,1.9334,4.2629,0.9857,-1.0786,0.0706,3.6707,5.6728,0.1577,0.0071,0.2165,0.6665,0.0594,0.0373,0.1784,0.4747,0.0632,1,1.0,8.944439
2754,parallel5,parallel,465.4099,0.5,2.2111,0.3662,1.2561,3.5887,1.2667,-0.7025,0.0637,0.6744,4.6195,0.0043,0.0018,0.0351,0.2082,0.0864,0.0173,0.1388,0.5307,0.0591,0,-1.0,8.862358
3504,parallel5,parallel,149.5156,0.5,5.4481,2.9305,4.0211,1.6407,2.8834,-2.4114,0.1242,3.2152,0.5347,0.1653,0.0019,0.0752,0.1195,0.0513,0.0022,0.0316,0.3017,0.0177,0,-1.0,7.224152
1352,series2x2_parallel1,parallel,132.7625,1.5,0.7383,3.4736,2.3128,1.2032,1.387,-0.7383,0.0075,0.0896,3.6015,0.0764,0.0033,0.1002,0.2618,0.0363,0.0046,0.0838,0.2909,0.0317,1,0.5849625,7.052704
548,series3_parallel2,series,195.4785,0.25,5.9614,5.2125,1.7814,2.8876,3.9395,-0.2783,0.0098,2.3325,0.4294,0.1417,0.0254,0.1201,0.6267,0.0523,0.0238,0.1349,0.6672,0.1071,3,-2.0,7.610866
1120,series2x2_parallel1,parallel,129.767,1.0,3.4704,0.808,2.4557,3.3804,0.8115,-2.7684,0.1777,2.358,7.5841,0.0432,0.0145,0.2112,0.5756,0.1779,0.0046,0.0577,0.3435,0.1711,1,0.0,7.0197797
1426,parallel5,parallel,632.3779,0.5,2.0338,1.2426,3.391,0.3959,0.3591,2.726,0.1357,3.3923,4.9903,0.0725,0.0127,0.1525,0.5694,0.101,0.0336,0.1101,0.785,0.2479,0,-1.0,9.304644
3839,parallel5,parallel,863.8982,0.25,1.5747,0.3196,3.7451,1.7477,1.7994,-2.8907,0.0732,1.9704,7.8995,0.2324,0.0056,0.0675,0.2031,0.0636,0.0042,0.1076,0.2238,0.0368,0,-2.0,9.754718
753,series3,series,393.848,1.0,3.6285,3.0738,1.6031,4.2272,2.6163,-1.9193,0.1564,2.039,4.832,0.1296,0.0063,0.0544,0.1412,0.0702,0.0155,0.2427,0.6127,0.0961,2,0.0,8.621495
155,series3_parallel2,series,267.451,3.0,1.4285,3.5054,2.7709,1.3704,0.9457,0.9508,0.1402,1.4497,7.3918,0.2156,0.0076,0.1242,0.6814,0.078,0.006,0.2815,0.3248,0.0504,3,1.5849625,8.06313
1899,series3,series,529.8049,0.1667,0.3257,2.7646,0.7889,3.6333,0.853,0.8982,0.101,3.1643,5.8272,0.1485,0.0052,0.0434,0.102,0.0388,0.0222,0.0871,0.4327,0.1676,2,-2.584674,9.049317
625,series3_parallel2,series,125.4888,1.5,2.1442,4.9454,3.5482,0.2924,3.1761,2.3008,0.1503,3.7281,6.5424,0.1394,0.0035,0.0788,0.0643,0.0471,0.118,0.1226,0.7531,0.4814,3,0.5849625,6.9714146
2803,parallel5,parallel,235.6978,0.125,1.6826,1.1911,2.019,0.8493,3.5982,-2.76,0.0594,1.3174,5.6474,0.1252,0.1019,0.2038,0.5738,0.1098,0.009,0.1981,0.1086,0.0538,0,-3.0,7.8807945
3932,parallel5,parallel,74.3391,0.125,3.8294,0.952,4.2301,2.3057,2.9741,-2.4638,0.0041,1.9517,1.5238,0.0398,0.0026,0.0421,0.1682,0.0528,0.1093,0.1027,0.709,0.4812,0,-3.0,6.216049
2256,series3,series,403.9125,0.125,1.1704,0.9706,0.4331,2.1283,1.6529,-0.5425,0.1695,2.6824,4.6537,0.1024,0.0174,0.2173,0.5559,0.1996,0.0059,0.135,0.197,0.0564,2,-3.0,8.657899
645,series3,series,215.7714,0.3333,3.871,1.4442,2.5428,1.1552,0.8748,-1.5692,0.0866,0.4477,5.1959,0.1138,0.0054,0.0496,0.0936,0.1194,0.0055,0.1312,0.4357,0.0454,2,-1.5851068,7.75336
136,parallel5,parallel,373.0111,0.6667,2.49,3.0065,0.2569,3.208,0.1883,-0.5691,0.0467,3.0965,2.7785,0.0246,0.0016,0.0284,0.1867,0.0303,0.0071,0.0288,0.2579,0.0269,0,-0.58489037,8.543075
1577,series3,series,170.7242,1.5,3.8939,0.3602,5.7798,2.7051,1.4338,-1.3763,0.0923,2.3839,7.2577,0.0989,0.0074,0.186,0.4774,0.0742,0.0017,0.0645,0.1869,0.0461,2,0.5849625,7.4155235
2784,parallel5,parallel,564.1524,0.2,1.3764,1.7005,1.2815,5.0062,5.9724,0.0302,0.15,3.7934,1.3501,0.1804,0.0029,0.0611,0.164,0.0256,0.0032,0.0986,0.2653,0.0425,0,-2.321928,9.139941
